"Year","Month","Day","site","mean_temp_c","max_temp_c","min_temp_c"
2002,5,31,"CARP",15.0448,15.86,13.58
2002,5,31,"MOHK",14.3655,15.49,13.32
2002,5,31,"NAPL",13.4986,15.12,12.28
2002,6,1,"AQUE",13.2184,14.86,12.01
2002,6,1,"CARP",14.4647,15.58,13.76
2002,6,1,"MOHK",13.9809,14.97,12.55
2002,6,1,"NAPL",13.4477,14.69,11.77
2002,6,2,"AQUE",13.331,14.77,11.92
2002,6,2,"CARP",14.3434,15.08,13.67
2002,6,2,"MOHK",14.4698,15.41,13.29
2002,6,2,"NAPL",13.9653,15.04,12.55
2002,6,3,"AQUE",13.7022,15.38,11.92
2002,6,3,"CARP",14.8839,15.25,14.53
2002,6,3,"MOHK",15.1774,16.27,14.23
2002,6,3,"NAPL",14.401,15.04,13.66
2002,6,4,"AQUE",14.5044,15.03,14.16
2002,6,4,"CARP",14.6845,15.49,13.84
2002,6,4,"MOHK",14.5547,15.71,13.04
2002,6,4,"NAPL",14.5271,15.22,13.83
2002,6,5,"AQUE",14.7701,15.29,14.08
2002,6,5,"CARP",15.134,16.03,13.87
2002,6,5,"MOHK",14.8915,15.88,13.32
2002,6,5,"NAPL",14.5611,15.39,13.74
2002,6,6,"AQUE",14.611,14.95,13.91
2002,6,6,"CARP",15.4171,15.68,14.88
2002,6,6,"MOHK",15.3268,15.8,14.53
2002,6,6,"NAPL",14.824,15.39,13.49
2002,6,7,"AQUE",14.9632,15.38,14.42
2002,6,7,"CARP",15.3538,16.03,14.71
2002,6,7,"MOHK",15.6861,16.23,14.97
2002,6,7,"NAPL",15.066,15.82,14.52
2002,6,8,"AQUE",15.0567,16.16,14.51
2002,6,8,"CARP",15.2244,16.12,14.44
2002,6,8,"MOHK",15.4528,16.23,13.67
2002,6,8,"NAPL",14.8096,15.91,13.91
2002,6,9,"AQUE",15.325,16.07,14.16
2002,6,9,"CARP",15.1406,16.38,14.09
2002,6,9,"MOHK",15.3545,16.41,13.84
2002,6,9,"NAPL",13.9803,15.12,13.14
2002,6,10,"AQUE",14.5872,16.43,13.13
2002,6,10,"CARP",16.195,17.52,14.82
2002,6,10,"MOHK",15.8167,17.29,14.01
2002,6,10,"NAPL",15.1679,16.61,13.32
2002,6,11,"AQUE",15.3028,16.17,14.86
2002,6,11,"CARP",17.0647,17.52,16.01
2002,6,11,"MOHK",16.5017,17.29,16.01
2002,6,11,"NAPL",14.3439,15.56,13.48
2002,6,12,"AQUE",15.8249,17.14,13.99
2002,6,12,"CARP",17.1168,18.06,16.09
2002,6,12,"MOHK",17.0208,17.99,16.23
2002,6,12,"NAPL",16.413,17.05,14.95
2002,6,13,"AQUE",16.2469,17.14,14.94
2002,6,13,"CARP",17.3577,18.42,16.63
2002,6,13,"MOHK",16.4784,17.91,15.41
2002,6,13,"NAPL",16.4904,17.58,15.65
2002,6,14,"AQUE",15.9757,17.05,15.38
2002,6,14,"CARP",17.2457,18.23,15.58
2002,6,14,"MOHK",16.4331,17.99,14.71
2002,6,14,"NAPL",16.2588,17.4,13.66
2002,6,15,"AQUE",16.1968,17.58,14.51
2002,6,15,"CARP",17.0979,18.59,16.09
2002,6,15,"MOHK",16.8601,18.17,14.36
2002,6,15,"NAPL",16.6364,17.49,14.95
2002,6,16,"AQUE",16.8575,17.76,15.56
2002,6,16,"CARP",17.6869,18.77,16.81
2002,6,16,"MOHK",17.0109,18.53,15.06
2002,6,16,"NAPL",16.7826,17.67,14.17
2002,6,17,"AQUE",17.3376,19.11,16.26
2002,6,17,"CARP",17.3589,18.68,15.58
2002,6,17,"MOHK",17.9392,18.58,16.36
2002,6,17,"NAPL",17.4461,18.11,15.65
2002,6,18,"AQUE",18.1505,19.2,17.58
2002,6,18,"CARP",18.2356,19.66,15.32
2002,6,18,"MOHK",18.7392,19.68,17.87
2002,6,18,"NAPL",17.9038,18.64,17.13
2002,6,19,"AQUE",17.2753,18.56,15.64
2002,6,19,"CARP",18.8009,19.39,16.89
2002,6,19,"MOHK",18.7114,19.83,16.98
2002,6,19,"NAPL",18.4079,19.19,16.34
2002,6,20,"AQUE",17.6997,18.75,13.38
2002,6,20,"CARP",17.3825,19.22,14.88
2002,6,20,"MOHK",17.6116,18.94,15.75
2002,6,20,"NAPL",16.6356,18.56,13.06
2002,6,21,"AQUE",13.5674,15.64,12.96
2002,6,21,"CARP",16.2182,18.51,14.97
2002,6,21,"MOHK",16.6603,18.04,14.71
2002,6,21,"NAPL",13.7334,15.47,12.63
2002,6,22,"AQUE",14.2557,17.32,12.1
2002,6,22,"CARP",16.5732,18.32,15.32
2002,6,22,"MOHK",16.522,18.53,14.27
2002,6,22,"NAPL",14.5378,15.73,13.23
2002,6,23,"AQUE",15.3678,17.84,12.79
2002,6,23,"CARP",16.5802,18.51,15.32
